reg_no,name,department,card_issued,card_expiry,library_status
REG1001,Allison Hill,DATA-ANALYTICS,2026-03-20,2026-07-24,EXPIRED
REG1002,Noah Rhodes,ECE,2025-11-26,2026-08-04,EXPIRED
REG1003,Angie Henderson,DATA-ANALYTICS,2024-12-31,2026-07-14,EXPIRED
REG1004,Daniel Wagner,CSE,2026-06-12,2026-07-27,EXPIRED
REG1005,Cristian Santos,MBA,2024-11-03,2026-07-29,EXPIRED
REG1006,Connie Lawrence,DATA-ANALYTICS,2024-09-15,2025-09-15,ACTIVE
REG1007,Abigail Shaffer,CIVIL,2025-11-29,2026-11-29,ACTIVE
REG1008,Gina Moore,MECH,2026-07-06,2027-07-06,ACTIVE
REG1009,Gabrielle Davis,ECE,2025-05-06,2026-05-06,ACTIVE
REG1010,Ryan Munoz,ECE,2025-12-04,2026-12-04,ACTIVE
REG1011,Monica Herrera,MECH,2026-03-30,2026-08-04,EXPIRED
REG1012,Jamie Arnold,MECH,2025-07-25,2026-07-25,ACTIVE
REG1013,Lisa Hensley,CSE,2025-03-29,2026-03-29,ACTIVE
REG1014,Michele Williams,CIVIL,2026-04-23,2027-04-23,ACTIVE
REG1015,Dylan Miller,DATA-ANALYTICS,2024-10-17,2025-10-17,ACTIVE
REG1016,Brian Ramirez,MECH,2024-11-28,2026-08-06,EXPIRED
REG1017,Holly Wood,CSE,2025-11-21,2026-11-21,ACTIVE
REG1018,Derek Zuniga,CSE,2025-11-16,2026-11-16,ACTIVE
REG1019,Lisa Jackson,CIVIL,2025-10-01,2026-10-01,ACTIVE
REG1020,Carla Gray,MECH,2026-01-27,2027-01-27,ACTIVE
REG1021,Margaret Hawkins DDS,ECE,2025-10-12,2026-10-12,ACTIVE
REG1022,Patty Perez,DATA-ANALYTICS,2024-09-17,2026-07-01,EXPIRED
REG1023,Ethan Adams,ECE,2025-01-12,2026-01-12,ACTIVE
REG1024,Tommy Walter,ECE,2025-03-26,2026-03-26,ACTIVE
REG1025,Matthew Foster,DATA-ANALYTICS,2024-12-19,2025-12-19,ACTIVE
